岗位名称,薪水,学历要求,工作经验要求,招聘详细页url,是否全职,公司名,公司类型,公司规模等,职位信息
测试工程师,5.5K-8K,大专,不限,https://jobs.zhaopin.com/562244523358398.htm,全职,上海怡科信息科技有限公司,民营,500-999人,None
技术美术,15K-20K,本科,不限,https://jobs.zhaopin.com/CC538197428J00239880007.htm,全职,厦门真有趣信息科技有限公司,民营,100-499人,None
绑定设置师（厦门）,5K-10K,大专,3-5年,https://jobs.zhaopin.com/CC469966185J00219301803.htm,全职,华强方特(厦门)电影有限公司,民营,1000-9999人,None
数据仓库开发工程师,20K-30K,本科,5-10年,https://jobs.zhaopin.com/CC120471598J00331626608.htm,全职,安踏体育用品集团有限公司,股份制企业,10000人以上,None
Java架构师,15K-30K,本科,5-10年,https://jobs.zhaopin.com/CC273299131J00172950002.htm,全职,厦门渊亭信息科技有限公司,民营,20-99人,None
高级运维工程师,14K-28K,本科,3-5年,https://jobs.zhaopin.com/CC568442780J00357316007.htm,全职,厦门趣店科技有限公司,上市公司,1000-9999人,None
Houdini 技术美术,15K-30K,本科,不限,https://jobs.zhaopin.com/CC538197428J00239878807.htm,全职,厦门真有趣信息科技有限公司,民营,100-499人,None
高级前端开发工程师,15K-20K,本科,5-10年,https://jobs.zhaopin.com/CC845356460J00386122307.htm,全职,深圳市笨鸟社交科技有限公司,民营,100-499人,None
【厦门】中高级测试工程师,10K-20K,本科,5-10年,https://jobs.zhaopin.com/CC160186813J00330788502.htm,全职,厦门亿力吉奥信息科技有限公司,国企,500-999人,None
地产数据分析专员 厦门分公司,6K-8K,大专,不限,https://jobs.zhaopin.com/CC469994888J00327508001.htm,全职,福州咸鱼科技有限公司,民营,100-499人,None
技术总（CTO，有股权）,15K-30K,本科,1-3年,https://jobs.zhaopin.com/CC469994888J00414601101.htm,全职,福州咸鱼科技有限公司,民营,100-499人,None
算法工程师（c++方向）,15K-25K,硕士,3-5年,https://jobs.zhaopin.com/CC309817935J00209725402.htm,全职,西人马(厦门)科技有限公司,民营,100-499人,None
算法工程师（图像算法）,15K-25K,硕士,1-3年,https://jobs.zhaopin.com/CC309817935J00209723002.htm,全职,西人马(厦门)科技有限公司,民营,100-499人,None
java开发工程师,10K-15K,大专,1-3年,https://jobs.zhaopin.com/CC493150925J00144111710.htm,全职,北京汉克时代科技有限公司,民营,1000-9999人,None
安全研究员（渗透测试方向）,8K-10K,大专,1-3年,https://jobs.zhaopin.com/CC150314414J00196865302.htm,全职,厦门市美亚柏科信息股份有限公司,上市公司,1000-9999人,None
java工程师,6K-10K,大专,3-5年,https://jobs.zhaopin.com/CC120564559J00332634308.htm,全职,深圳市长亮科技股份有限公司,上市公司,1000-9999人,None
BASIS/数据库/DBA工程师,6K-12K,大专,不限,https://jobs.zhaopin.com/CC650178927J00185772905.htm,全职,鸿星尔克(厦门)实业有限公司,民营,10000人以上,None
高级数据平台工程师,15K-30K,本科,3-5年,https://jobs.zhaopin.com/CC568442780J00341560307.htm,全职,厦门趣店科技有限公司,上市公司,1000-9999人,None
web全栈开发工程师,10K-16K,大专,3-5年,https://jobs.zhaopin.com/CC538197428J00251292607.htm,全职,厦门真有趣信息科技有限公司,民营,100-499人,None
风控策略工程师,20K-40K,本科,3-5年,https://jobs.zhaopin.com/CC568442780J00357321507.htm,全职,厦门趣店科技有限公司,上市公司,1000-9999人,None
C++研发工程师（界面方向）,10K-15K,本科,1-3年,https://jobs.zhaopin.com/CC150314414J00330151602.htm,全职,厦门市美亚柏科信息股份有限公司,上市公司,1000-9999人,None
大数据开发工程师,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CC120564559J00330504108.htm,全职,深圳市长亮科技股份有限公司,上市公司,1000-9999人,None
运维工程师,6K-8K,大专,不限,https://jobs.zhaopin.com/150314414251544.htm,全职,厦门市美亚柏科信息股份有限公司,上市公司,1000-9999人,None
c++研发工程师,10K-15K,本科,1-3年,https://jobs.zhaopin.com/CC150314414J00330186202.htm,全职,厦门市美亚柏科信息股份有限公司,上市公司,1000-9999人,None
java工程师,10K-18K,大专,3-5年,https://jobs.zhaopin.com/CC000544466J00179156809.htm,全职,软通动力信息技术(集团)有限公司,上市公司,10000人以上,None
中高级算法工程师,8K-15K,本科,3-5年,https://jobs.zhaopin.com/CC351115612J00208474211.htm,全职,北京卡洛其咨询有限公司,股份制企业,1000-9999人,None
数据处理工程师,4K-5K,大专,不限,https://jobs.zhaopin.com/CC000393785J00108892412.htm,全职,新奥特(北京)视频技术有限公司,外商独资,1000-9999人,None
数据挖掘工程师,8K-16K,本科,1-3年,https://jobs.zhaopin.com/CC538197428J00334628507.htm,全职,厦门真有趣信息科技有限公司,民营,100-499人,None
图像算法工程师OpenCV,12K-20K,本科,不限,https://jobs.zhaopin.com/CC000393785J00125172612.htm,全职,新奥特(北京)视频技术有限公司,外商独资,1000-9999人,None
数据挖掘工程师,15K-30K,本科,不限,https://jobs.zhaopin.com/CC369291781J00230675803.htm,全职,厦门欢乐逛科技股份有限公司,民营,100-499人,None
后端开发工程师,10K-18K,本科,1-3年,https://jobs.zhaopin.com/CC309817935J00164845702.htm,全职,西人马(厦门)科技有限公司,民营,100-499人,None
反欺诈运营分析工程师,20K-40K,本科,3-5年,https://jobs.zhaopin.com/CC568442780J00357320207.htm,全职,厦门趣店科技有限公司,上市公司,1000-9999人,None
高级大数据开发工程师·(J10492),10K-20K,本科,5-10年,https://jobs.zhaopin.com/CC271630986J00174512213.htm,全职,北京明略软件系统有限公司,民营,100-499人,None
研发工程师（校招）,10K-15K,本科,无经验,https://jobs.zhaopin.com/CC568442780J00370039007.htm,校园,厦门趣店科技有限公司,上市公司,1000-9999人,None
数据产品经理,18K-36K,本科,3-5年,https://jobs.zhaopin.com/CC568442780J00369103107.htm,全职,厦门趣店科技有限公司,上市公司,1000-9999人,None
